# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collections,1767588272005000000,1767588332018000000,18
JVM.GC.collectionTimesMs,1767588272005000000,1767588332018000000,86
JVM.usedNativeBytes,1767588272005000000,1767588332018000000,274944120
JVM.maxNativeBytes,1767588272005000000,1767588332018000000,-1
JVM.usedHeapBytes,1767588272005000000,1767588332018000000,376808864
OS.loadAverage,1767588272005000000,1767588332018000000,16.748046875
JVM.totalCpuTimeMs,1767588272005000000,1767588332018000000,25681
JVM.maxHeapBytes,1767588272005000000,1767588332018000000,2147483648
JVM.threadCount,1767588272005000000,1767588332018000000,114
workspaceModel.pre.handlers.ms,1767588272005000000,1767588332018000000,0
workspaceModel.initializing.ms,1767588272005000000,1767588332018000000,1
workspaceModel.collect.changes.ms,1767588272005000000,1767588332018000000,0
workspaceModel.updates.ms,1767588272005000000,1767588332018000000,40
workspaceModel.loading.from.cache.ms,1767588272005000000,1767588332018000000,86
workspaceModel.to.snapshot.ms,1767588272005000000,1767588332018000000,1
workspaceModel.replace.project.model.ms,1767588272005000000,1767588332018000000,0
workspaceModel.check.recursive.update.ms,1767588272005000000,1767588332018000000,0
workspaceModel.loading.total.ms,1767588272005000000,1767588332018000000,93
workspaceModel.init.bridges.ms,1767588272005000000,1767588332018000000,1
workspaceModel.update.unloaded.entities.ms,1767588272005000000,1767588332018000000,0
workspaceModel.updates.precise.ms,1767588272005000000,1767588332018000000,17
workspaceModel.updates.count,1767588272005000000,1767588332018000000,3
AWTEventQueue.dispatchTimeTotalNS,1767588272005000000,1767588332018000000,3778170832
NonBlockingReadAction.finalizedExecutionsCount,1767588272005000000,1767588332018000000,20
FlushQueue.executionTimeAvgNs,1767588272005000000,1767588332018000000,1672661.3628938156
FlushQueue.tasksExecuted,1767588272005000000,1767588332018000000,857
FlushQueue.waitingTime90PNs,1767588272005000000,1767588332018000000,149946367
FlushQueue.waitingTimeAvgNs,1767588272005000000,1767588332018000000,3.860786156359393E7
AWTEventQueue.dispatchTimeMaxNs,1767588272005000000,1767588332018000000,947912703
NonBlockingReadAction.finalizedExecutionTimeUs,1767588272005000000,1767588332018000000,291823
AWTEventQueue.dispatchTimeAvgNs,1767588272005000000,1767588332018000000,940993.4628799203
FlushQueue.queueSizeMax,1767588272005000000,1767588332018000000,71
FlushQueue.waitingTimeMaxNs,1767588272005000000,1767588332018000000,901775359
NonBlockingReadAction.failedExecutionsCount,1767588272005000000,1767588332018000000,2
NonBlockingReadAction.failedExecutionTimeUs,1767588272005000000,1767588332018000000,29765
FlushQueue.queueSizeAvg,1767588272005000000,1767588332018000000,7.346557759626604
FlushQueue.queueSize90P,1767588272005000000,1767588332018000000,21
FlushQueue.executionTime90PNs,1767588272005000000,1767588332018000000,1040383
AWTEventQueue.eventsDispatched,1767588272005000000,1767588332018000000,4014
AWTEventQueue.dispatchTime90PNs,1767588272005000000,1767588332018000000,497663
FlushQueue.executionTimeMaxNs,1767588272005000000,1767588332018000000,220200959
Indexes.stubs.lookups,1767588272005000000,1767588332018000000,0.0
IndexesFlusher.totalFlushes,1767588272005000000,1767588332018000000,57
VFSFlusher.totalFlushingTimeUs,1767588272005000000,1767588332018000000,7098
Indexes.entries.lookupDuration90PMs,1767588272005000000,1767588332018000000,30.0
IndexesFlusher.totalFlushingTimeUs,1767588272005000000,1767588332018000000,853669
Indexes.stubs.lookupDurationMaxMs,1767588272005000000,1767588332018000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767588272005000000,1767588332018000000,0.0
VFSFlusher.totalContentionQuotaSpent,1767588272005000000,1767588332018000000,0
IndexesFlusher.totalContentionQuotaSpent,1767588272005000000,1767588332018000000,0
Indexes.stubs.lookupDurationAvgMs,1767588272005000000,1767588332018000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1767588272005000000,1767588332018000000,0.0
VFSFlusher.totalFlushesRetried,1767588272005000000,1767588332018000000,0
VFSFlusher.totalFlushes,1767588272005000000,1767588332018000000,3
Indexes.entries.lookupDurationAvgMs,1767588272005000000,1767588332018000000,7.5
Indexes.allKeys.lookupDurationAvgMs,1767588272005000000,1767588332018000000,0.0
IndexesFlusher.totalFlushesRetried,1767588272005000000,1767588332018000000,0
Indexes.entries.lookups,1767588272005000000,1767588332018000000,4.0
Indexes.entries.lookupDurationMaxMs,1767588272005000000,1767588332018000000,30.0
Indexes.allKeys.lookups,1767588272005000000,1767588332018000000,0.0
Indexes.stubs.lookupDuration90PMs,1767588272005000000,1767588332018000000,0.0
FileNameCache.fastMisses,1767588272005000000,1767588332018000000,73327
FileNameCache.queries,1767588272005000000,1767588332018000000,1718464
FileNameCache.totalMisses,1767588272005000000,1767588332018000000,52398
FilePageCache.uncachedFileAccess,1767588272005000000,1767588332018000000,131
FilePageCache.pageHits,1767588272005000000,1767588332018000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767588272005000000,1767588332018000000,0
DirectByteBufferAllocator.hits,1767588272005000000,1767588332018000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767588272005000000,1767588332018000000,266371072
DirectByteBufferAllocator.misses,1767588272005000000,1767588332018000000,249
FilePageCache.maxCacheSizeInBytes,1767588272005000000,1767588332018000000,266371072
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767588272005000000,1767588332018000000,4319610
FilePageCache.pageFastCacheHits,1767588272005000000,1767588332018000000,179863
StorageLockContext.competingThreads.avg,1767588272005000000,1767588332018000000,0.0423728813559322
FilePageCache.disposedBuffers,1767588272005000000,1767588332018000000,3
StorageLockContext.competingThreads.max,1767588272005000000,1767588332018000000,5
StreamlinedBlobStorage.recordsAllocated,1767588272005000000,1767588332018000000,60963
FilePageCache.capacityInBytes,1767588272005000000,1767588332018000000,524288000
FilePageCache.pageLoads,1767588272005000000,1767588332018000000,252
StorageLockContext.competingThreads.90P,1767588272005000000,1767588332018000000,0
DirectByteBufferAllocator.reclaimed,1767588272005000000,1767588332018000000,3
StreamlinedBlobStorage.recordsRelocated,1767588272005000000,1767588332018000000,0
FilePageCache.maxRegisteredFiles,1767588272005000000,1767588332018000000,617
StreamlinedBlobStorage.recordsDeleted,1767588272005000000,1767588332018000000,19
FilePageCache.totalPageDisposalsUs,1767588272005000000,1767588332018000000,418
FilePageCache.totalPageLoadsUs,1767588272005000000,1767588332018000000,129722
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767588272005000000,1767588332018000000,2259541
DirectByteBufferAllocator.disposed,1767588272005000000,1767588332018000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1767588272005000000,1767588332018000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767588272005000000,1767588332018000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767588272005000000,1767588332018000000,70
workspaceModel.save.cache.to.file.ms,1767588272005000000,1767588332018000000,36
workspaceModel.mutableEntityStorage.entities.ms,1767588272005000000,1767588332018000000,1
