# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1767550562631000000,1767550622641000000,0.0
DirectByteBufferAllocator.disposed,1767550562631000000,1767550622641000000,0
DirectByteBufferAllocator.hits,1767550562631000000,1767550622641000000,3
StreamlinedBlobStorage.recordsRelocated,1767550562631000000,1767550622641000000,0
StorageLockContext.competingThreads.max,1767550562631000000,1767550622641000000,0
FilePageCache.capacityInBytes,1767550562631000000,1767550622641000000,524288000
FilePageCache.totalPageLoadsUs,1767550562631000000,1767550622641000000,182153
FilePageCache.maxCacheSizeInBytes,1767550562631000000,1767550622641000000,266371072
FilePageCache.pageLoadsAboveSizeThreshold,1767550562631000000,1767550622641000000,0
FilePageCache.disposedBuffers,1767550562631000000,1767550622641000000,3
FilePageCache.pageFastCacheHits,1767550562631000000,1767550622641000000,179654
workspaceModel.initializing.ms,1767550562631000000,1767550622641000000,1
workspaceModel.loading.total.ms,1767550562631000000,1767550622641000000,81
workspaceModel.replace.project.model.ms,1767550562631000000,1767550622641000000,0
workspaceModel.pre.handlers.ms,1767550562631000000,1767550622641000000,0
workspaceModel.updates.precise.ms,1767550562631000000,1767550622641000000,14
workspaceModel.update.unloaded.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.updates.ms,1767550562631000000,1767550622641000000,37
workspaceModel.to.snapshot.ms,1767550562631000000,1767550622641000000,1
workspaceModel.updates.count,1767550562631000000,1767550622641000000,3
workspaceModel.init.bridges.ms,1767550562631000000,1767550622641000000,1
workspaceModel.collect.changes.ms,1767550562631000000,1767550622641000000,0
workspaceModel.check.recursive.update.ms,1767550562631000000,1767550622641000000,0
workspaceModel.loading.from.cache.ms,1767550562631000000,1767550622641000000,75
JVM.totalCpuTimeMs,1767550562631000000,1767550622641000000,32097
OS.loadAverage,1767550562631000000,1767550622641000000,6.17822265625
JVM.GC.collectionTimesMs,1767550562631000000,1767550622641000000,112
JVM.usedHeapBytes,1767550562631000000,1767550622641000000,420929024
JVM.maxNativeBytes,1767550562631000000,1767550622641000000,-1
JVM.maxHeapBytes,1767550562631000000,1767550622641000000,2147483648
JVM.GC.collections,1767550562631000000,1767550622641000000,32
