# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.eventsDispatched,1767588228596000000,1767588265852000000,1378
FlushQueue.executionTime90PNs,1767588228596000000,1767588265852000000,1441791
NonBlockingReadAction.finalizedExecutionTimeUs,1767588228596000000,1767588265852000000,251545
NonBlockingReadAction.failedExecutionsCount,1767588228596000000,1767588265852000000,3
FlushQueue.executionTimeMaxNs,1767588228596000000,1767588265852000000,333447167
AWTEventQueue.dispatchTimeTotalNS,1767588228596000000,1767588265852000000,3919158790
FlushQueue.queueSize90P,1767588228596000000,1767588265852000000,30
FlushQueue.waitingTimeMaxNs,1767588228596000000,1767588265852000000,914358271
AWTEventQueue.dispatchTimeMaxNs,1767588228596000000,1767588265852000000,931135487
FlushQueue.queueSizeAvg,1767588228596000000,1767588265852000000,10.47983870967742
FlushQueue.tasksExecuted,1767588228596000000,1767588265852000000,744
NonBlockingReadAction.finalizedExecutionsCount,1767588228596000000,1767588265852000000,22
NonBlockingReadAction.failedExecutionTimeUs,1767588228596000000,1767588265852000000,22673
AWTEventQueue.dispatchTimeAvgNs,1767588228596000000,1767588265852000000,2843445.7126269955
AWTEventQueue.dispatchTime90PNs,1767588228596000000,1767588265852000000,1613823
FlushQueue.queueSizeMax,1767588228596000000,1767588265852000000,76
FlushQueue.executionTimeAvgNs,1767588228596000000,1767588265852000000,2455927.3279569894
FlushQueue.waitingTime90PNs,1767588228596000000,1767588265852000000,230686719
FlushQueue.waitingTimeAvgNs,1767588228596000000,1767588265852000000,6.5823461182795696E7
JVM.totalCpuTimeMs,1767588228596000000,1767588265852000000,24374
JVM.usedNativeBytes,1767588228596000000,1767588265852000000,277068832
OS.loadAverage,1767588228596000000,1767588265852000000,6.353515625
JVM.threadCount,1767588228596000000,1767588265852000000,119
JVM.maxNativeBytes,1767588228596000000,1767588265852000000,-1
JVM.GC.collections,1767588228596000000,1767588265852000000,24
JVM.maxHeapBytes,1767588228596000000,1767588265852000000,2147483648
JVM.usedHeapBytes,1767588228596000000,1767588265852000000,288565712
JVM.GC.collectionTimesMs,1767588228596000000,1767588265852000000,95
FileNameCache.totalMisses,1767588228596000000,1767588265852000000,52419
FileNameCache.fastMisses,1767588228596000000,1767588265852000000,73365
FileNameCache.queries,1767588228596000000,1767588265852000000,1720819
workspaceModel.loading.from.cache.ms,1767588228596000000,1767588265852000000,104
workspaceModel.update.unloaded.entities.ms,1767588228596000000,1767588265852000000,0
workspaceModel.initializing.ms,1767588228596000000,1767588265852000000,0
workspaceModel.loading.total.ms,1767588228596000000,1767588265852000000,112
workspaceModel.init.bridges.ms,1767588228596000000,1767588265852000000,0
workspaceModel.pre.handlers.ms,1767588228596000000,1767588265852000000,1
workspaceModel.check.recursive.update.ms,1767588228596000000,1767588265852000000,0
workspaceModel.updates.ms,1767588228596000000,1767588265852000000,57
workspaceModel.replace.project.model.ms,1767588228596000000,1767588265852000000,0
workspaceModel.updates.count,1767588228596000000,1767588265852000000,3
workspaceModel.updates.precise.ms,1767588228596000000,1767588265852000000,16
workspaceModel.to.snapshot.ms,1767588228596000000,1767588265852000000,1
workspaceModel.collect.changes.ms,1767588228596000000,1767588265852000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767588228596000000,1767588265852000000,52461568
DirectByteBufferAllocator.hits,1767588228596000000,1767588265852000000,3
FilePageCache.totalPageDisposalsUs,1767588228596000000,1767588265852000000,576
FilePageCache.pageFastCacheHits,1767588228596000000,1767588265852000000,179662
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767588228596000000,1767588265852000000,53510144
DirectByteBufferAllocator.reclaimed,1767588228596000000,1767588265852000000,48
StorageLockContext.competingThreads.avg,1767588228596000000,1767588265852000000,0.0
FilePageCache.pageHits,1767588228596000000,1767588265852000000,0
FilePageCache.maxCacheSizeInBytes,1767588228596000000,1767588265852000000,256933888
FilePageCache.disposedBuffers,1767588228596000000,1767588265852000000,242
