# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalFlushes,1767545107086000000,1767547922656000000,2
IndexesFlusher.totalFlushesRetried,1767545107086000000,1767547922656000000,0
IndexesFlusher.totalFlushingTimeUs,1767545107086000000,1767547922656000000,1204465
IndexesFlusher.totalContentionQuotaSpent,1767545107086000000,1767547922656000000,0
IndexesFlusher.totalFlushes,1767545107086000000,1767547922656000000,58
VFSFlusher.totalContentionQuotaSpent,1767545107086000000,1767547922656000000,0
VFSFlusher.totalFlushesRetried,1767545107086000000,1767547922656000000,0
VFSFlusher.totalFlushingTimeUs,1767545107086000000,1767547922656000000,21803
workspaceModel.updates.precise.ms,1767545107086000000,1767547922656000000,0
workspaceModel.loading.from.cache.ms,1767545107086000000,1767547922656000000,0
workspaceModel.replace.project.model.ms,1767545107086000000,1767547922656000000,0
workspaceModel.loading.total.ms,1767545107086000000,1767547922656000000,2
workspaceModel.init.bridges.ms,1767545107086000000,1767547922656000000,0
workspaceModel.pre.handlers.ms,1767545107086000000,1767547922656000000,0
workspaceModel.updates.ms,1767545107086000000,1767547922656000000,0
workspaceModel.initializing.ms,1767545107086000000,1767547922656000000,0
workspaceModel.collect.changes.ms,1767545107086000000,1767547922656000000,0
workspaceModel.update.unloaded.entities.ms,1767545107086000000,1767547922656000000,0
workspaceModel.check.recursive.update.ms,1767545107086000000,1767547922656000000,0
workspaceModel.to.snapshot.ms,1767545107086000000,1767547922656000000,0
workspaceModel.updates.count,1767545107086000000,1767547922656000000,0
StorageLockContext.competingThreads.avg,1767545107086000000,1767547922656000000,0.017543859649122806
DirectByteBufferAllocator.misses,1767545107086000000,1767547922656000000,228
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767545107086000000,1767547922656000000,244350976
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767545107086000000,1767547922656000000,0
FilePageCache.capacityInBytes,1767545107086000000,1767547922656000000,524288000
DirectByteBufferAllocator.reclaimed,1767545107086000000,1767547922656000000,5
DirectByteBufferAllocator.hits,1767545107086000000,1767547922656000000,5
StreamlinedBlobStorage.recordsRelocated,1767545107086000000,1767547922656000000,0
StreamlinedBlobStorage.recordsDeleted,1767545107086000000,1767547922656000000,0
FilePageCache.pageLoads,1767545107086000000,1767547922656000000,233
DirectByteBufferAllocator.disposed,1767545107086000000,1767547922656000000,0
FilePageCache.disposedBuffers,1767545107086000000,1767547922656000000,5
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767545107086000000,1767547922656000000,840
FilePageCache.totalPageDisposalsUs,1767545107086000000,1767547922656000000,383
StreamlinedBlobStorage.recordsAllocated,1767545107086000000,1767547922656000000,12
FilePageCache.maxCacheSizeInBytes,1767545107086000000,1767547922656000000,244350976
FilePageCache.uncachedFileAccess,1767545107086000000,1767547922656000000,369
FilePageCache.maxRegisteredFiles,1767545107086000000,1767547922656000000,836
FilePageCache.pageLoadsAboveSizeThreshold,1767545107086000000,1767547922656000000,0
StorageLockContext.competingThreads.90P,1767545107086000000,1767547922656000000,0
FilePageCache.totalPageLoadsUs,1767545107086000000,1767547922656000000,86660
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767545107086000000,1767547922656000000,92
FilePageCache.pageFastCacheHits,1767545107086000000,1767547922656000000,15664
FilePageCache.pageHits,1767545107086000000,1767547922656000000,0
StorageLockContext.competingThreads.max,1767545107086000000,1767547922656000000,2
FileNameCache.totalMisses,1767545107086000000,1767547922656000000,17
FileNameCache.queries,1767545107086000000,1767547922656000000,402
FileNameCache.fastMisses,1767545107086000000,1767547922656000000,17
