# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767632841888000000,1767632893895000000,52461568
FilePageCache.uncachedFileAccess,1767632841888000000,1767632893895000000,133
FilePageCache.totalPageDisposalsUs,1767632841888000000,1767632893895000000,508
FilePageCache.pageHits,1767632841888000000,1767632893895000000,0
FilePageCache.maxCacheSizeInBytes,1767632841888000000,1767632893895000000,266371072
FilePageCache.pageLoadsAboveSizeThreshold,1767632841888000000,1767632893895000000,0
StorageLockContext.competingThreads.90P,1767632841888000000,1767632893895000000,0
StorageLockContext.competingThreads.max,1767632841888000000,1767632893895000000,0
FilePageCache.maxRegisteredFiles,1767632841888000000,1767632893895000000,617
DirectByteBufferAllocator.hits,1767632841888000000,1767632893895000000,3
FilePageCache.capacityInBytes,1767632841888000000,1767632893895000000,524288000
DirectByteBufferAllocator.disposed,1767632841888000000,1767632893895000000,203
FilePageCache.pageFastCacheHits,1767632841888000000,1767632893895000000,1164158
FilePageCache.pageLoads,1767632841888000000,1767632893895000000,252
FilePageCache.disposedBuffers,1767632841888000000,1767632893895000000,251
StorageLockContext.competingThreads.avg,1767632841888000000,1767632893895000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767632841888000000,1767632893895000000,53510144
DirectByteBufferAllocator.reclaimed,1767632841888000000,1767632893895000000,48
DirectByteBufferAllocator.misses,1767632841888000000,1767632893895000000,249
FilePageCache.totalPageLoadsUs,1767632841888000000,1767632893895000000,339373
workspaceModel.moduleManagerBridge.get.modules.ms,1767632841888000000,1767632893895000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767632841888000000,1767632893895000000,11
jps.module.iml.entities.serializer.load.entities.ms,1767632841888000000,1767632893895000000,12
jps.apply.loaded.storage.ms,1767632841888000000,1767632893895000000,10
workspaceModel.global.apply.state.to.project.builder.ms,1767632841888000000,1767632893895000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1767632841888000000,1767632893895000000,0
jps.library.entities.serializer.save.entities.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1767632841888000000,1767632893895000000,0
jps.load.project.to.empty.storage.ms,1767632841888000000,1767632893895000000,85
workspaceModel.moduleManagerBridge.newModule.ms,1767632841888000000,1767632893895000000,0
jps.global.get.libraries.ms,1767632841888000000,1767632893895000000,0
workspaceModel.orphan.listener.update.ms,1767632841888000000,1767632893895000000,1
jps.global.get.library.by.name.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1767632841888000000,1767632893895000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767632841888000000,1767632893895000000,0
jps.save.changed.project.entities.ms,1767632841888000000,1767632893895000000,1
jps.facet.change.listener.process.change.events.ms,1767632841888000000,1767632893895000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1767632841888000000,1767632893895000000,0
workspaceModel.load.cache.from.file.ms,1767632841888000000,1767632893895000000,86
jps.app.storage.content.writer.save.component.ms,1767632841888000000,1767632893895000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767632841888000000,1767632893895000000,41
workspaceModel.moduleBridge.update.option.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1767632841888000000,1767632893895000000,16
jps.load.initial.state.ms,1767632841888000000,1767632893895000000,6
workspaceModel.mutableEntityStorage.resolve.ms,1767632841888000000,1767632893895000000,0
jps.artifact.entities.serializer.load.entities.ms,1767632841888000000,1767632893895000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767632841888000000,1767632893895000000,0
workspaceModel.save.cache.to.file.ms,1767632841888000000,1767632893895000000,148
jps.global.initialize.library.bridges.ms,1767632841888000000,1767632893895000000,0
workspaceModel.sync.entities.ms,1767632841888000000,1767632893895000000,0
jps.save.global.entities.ms,1767632841888000000,1767632893895000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767632841888000000,1767632893895000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767632841888000000,1767632893895000000,475
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767632841888000000,1767632893895000000,0
jps.storage.jps.conf.reader.load.component.ms,1767632841888000000,1767632893895000000,19
workspaceModel.moduleBridge.facet.initialization.ms,1767632841888000000,1767632893895000000,0
jps.app.storage.content.reader.load.component.ms,1767632841888000000,1767632893895000000,1
jps.library.entities.serializer.load.entities.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1767632841888000000,1767632893895000000,2
jps.artifact.entities.serializer.save.entities.ms,1767632841888000000,1767632893895000000,0
jps.facet.change.listener.before.change.events.ms,1767632841888000000,1767632893895000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.entities.ms,1767632841888000000,1767632893895000000,0
jps.facet.change.listener.init.bridge.ms,1767632841888000000,1767632893895000000,0
jps.reload.project.entities.ms,1767632841888000000,1767632893895000000,0
jps.global.handle.before.change.events.ms,1767632841888000000,1767632893895000000,0
jps.project.serializers.save.ms,1767632841888000000,1767632893895000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1767632841888000000,1767632893895000000,0
jps.global.get.library.ms,1767632841888000000,1767632893895000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767632841888000000,1767632893895000000,97
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767632841888000000,1767632893895000000,0
jps.module.iml.entities.serializer.save.entities.ms,1767632841888000000,1767632893895000000,0
workspaceModel.global.updates.ms,1767632841888000000,1767632893895000000,0
jps.global.handle.changed.events.ms,1767632841888000000,1767632893895000000,0
workspaceModel.global.apply.state.to.project.ms,1767632841888000000,1767632893895000000,27
jps.project.serializers.load.ms,1767632841888000000,1767632893895000000,25
workspaceModel.moduleBridge.before.changed.ms,1767632841888000000,1767632893895000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1767632841888000000,1767632893895000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1767632841888000000,1767632893895000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767632841888000000,1767632893895000000,6
workspaceModel.global.updates.count,1767632841888000000,1767632893895000000,0
JVM.usedHeapBytes,1767632841888000000,1767632893895000000,595215296
JVM.GC.collectionTimesMs,1767632841888000000,1767632893895000000,260
JVM.maxNativeBytes,1767632841888000000,1767632893895000000,-1
JVM.totalCpuTimeMs,1767632841888000000,1767632893895000000,92373
JVM.threadCount,1767632841888000000,1767632893895000000,122
OS.loadAverage,1767632841888000000,1767632893895000000,6.283203125
JVM.GC.collections,1767632841888000000,1767632893895000000,53
JVM.maxHeapBytes,1767632841888000000,1767632893895000000,2147483648
JVM.usedNativeBytes,1767632841888000000,1767632893895000000,313319888
workspaceModel.updates.precise.ms,1767632841888000000,1767632893895000000,12
workspaceModel.updates.count,1767632841888000000,1767632893895000000,3
workspaceModel.loading.from.cache.ms,1767632841888000000,1767632893895000000,87
workspaceModel.update.unloaded.entities.ms,1767632841888000000,1767632893895000000,0
workspaceModel.check.recursive.update.ms,1767632841888000000,1767632893895000000,1
workspaceModel.collect.changes.ms,1767632841888000000,1767632893895000000,0
workspaceModel.replace.project.model.ms,1767632841888000000,1767632893895000000,0
workspaceModel.init.bridges.ms,1767632841888000000,1767632893895000000,1
workspaceModel.to.snapshot.ms,1767632841888000000,1767632893895000000,1
workspaceModel.pre.handlers.ms,1767632841888000000,1767632893895000000,0
workspaceModel.loading.total.ms,1767632841888000000,1767632893895000000,93
workspaceModel.updates.ms,1767632841888000000,1767632893895000000,39
workspaceModel.initializing.ms,1767632841888000000,1767632893895000000,1
Indexes.stubs.lookupDurationAvgMs,1767632841888000000,1767632893895000000,0.0
Indexes.entries.lookups,1767632841888000000,1767632893895000000,6.0
Indexes.stubs.lookups,1767632841888000000,1767632893895000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1767632841888000000,1767632893895000000,0.0
Indexes.stubs.lookupDuration90PMs,1767632841888000000,1767632893895000000,0.0
Indexes.stubs.lookupDurationMaxMs,1767632841888000000,1767632893895000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767632841888000000,1767632893895000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1767632841888000000,1767632893895000000,0.0
Indexes.entries.lookupDuration90PMs,1767632841888000000,1767632893895000000,95.0
Indexes.entries.lookupDurationAvgMs,1767632841888000000,1767632893895000000,43.0
Indexes.entries.lookupDurationMaxMs,1767632841888000000,1767632893895000000,95.0
Indexes.allKeys.lookups,1767632841888000000,1767632893895000000,0.0
FileNameCache.fastMisses,1767632841888000000,1767632893895000000,950525
FileNameCache.totalMisses,1767632841888000000,1767632893895000000,110062
FileNameCache.queries,1767632841888000000,1767632893895000000,9896825
FlushQueue.waitingTimeAvgNs,1767632841888000000,1767632893895000000,3.377158607854985E7
FlushQueue.tasksExecuted,1767632841888000000,1767632893895000000,993
NonBlockingReadAction.failedExecutionTimeUs,1767632841888000000,1767632893895000000,122879
FlushQueue.queueSize90P,1767632841888000000,1767632893895000000,17
FlushQueue.queueSizeAvg,1767632841888000000,1767632893895000000,4.470292044310171
NonBlockingReadAction.finalizedExecutionTimeUs,1767632841888000000,1767632893895000000,47917835
