# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookups,1767550440222000000,1767550500234000000,0.0
VFSFlusher.totalFlushingTimeUs,1767550440222000000,1767550500234000000,14531
Indexes.allKeys.lookupDuration90PMs,1767550440222000000,1767550500234000000,0.0
VFSFlusher.totalFlushesRetried,1767550440222000000,1767550500234000000,0
Indexes.entries.lookupDurationAvgMs,1767550440222000000,1767550500234000000,5.833333333333333
Indexes.stubs.lookups,1767550440222000000,1767550500234000000,0.0
Indexes.entries.lookupDurationMaxMs,1767550440222000000,1767550500234000000,13.0
VFSFlusher.totalFlushes,1767550440222000000,1767550500234000000,4
IndexesFlusher.totalFlushingTimeUs,1767550440222000000,1767550500234000000,702459
VFSFlusher.totalContentionQuotaSpent,1767550440222000000,1767550500234000000,0
Indexes.stubs.lookupDuration90PMs,1767550440222000000,1767550500234000000,0.0
Indexes.entries.lookupDuration90PMs,1767550440222000000,1767550500234000000,13.0
Indexes.allKeys.lookupDurationAvgMs,1767550440222000000,1767550500234000000,0.0
IndexesFlusher.totalFlushes,1767550440222000000,1767550500234000000,57
Indexes.stubs.lookupDurationMaxMs,1767550440222000000,1767550500234000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1767550440222000000,1767550500234000000,0.0
Indexes.stubs.lookupDurationAvgMs,1767550440222000000,1767550500234000000,0.0
IndexesFlusher.totalFlushesRetried,1767550440222000000,1767550500234000000,0
Indexes.entries.lookups,1767550440222000000,1767550500234000000,6.0
IndexesFlusher.totalContentionQuotaSpent,1767550440222000000,1767550500234000000,0
jps.app.storage.content.reader.load.component.ms,1767550440222000000,1767550500234000000,1
jps.load.initial.state.ms,1767550440222000000,1767550500234000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767550440222000000,1767550500234000000,1
jps.global.initialize.library.bridges.ms,1767550440222000000,1767550500234000000,0
jps.library.entities.serializer.save.entities.ms,1767550440222000000,1767550500234000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1767550440222000000,1767550500234000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767550440222000000,1767550500234000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767550440222000000,1767550500234000000,28
jps.artifact.entities.serializer.load.entities.ms,1767550440222000000,1767550500234000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767550440222000000,1767550500234000000,0
jps.app.storage.content.writer.save.component.ms,1767550440222000000,1767550500234000000,0
jps.save.changed.project.entities.ms,1767550440222000000,1767550500234000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1767550440222000000,1767550500234000000,0
